BLOQUES,AREAS,ZONA,PRODUCTO,DESCRIPCIÓN,PROVEEDOR,REF./MODELO,UNDS.
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Taladro,"Taladro metálico 18H, con guía ajustable, color negro. Dimensiones: 120 x 45 x 86 mm. (uds.)",STAPLES PRODUCTOS DE OFICINA,07-50003-3,10 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Grapadora,"Grapadora estándar 25H, color negro. Dimensiones: 39 x 66 x 154 mm. (uds.)",STAPLES PRODUCTOS DE OFICINA,07-50009-3,20 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Grapas,"Grapas estándar 24/6, cobreado (caja 1.000 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-43411,100 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Dossier,"Dossier Fástener, A4, capacidad 30 hojas. Dimensiones 230 x 310 mm. Colores surtidos (caja 25 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-35342-6,100 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Tarjetero,"Tarjetero extraplano 128, 4 cuerpos, fundas PVC",STAPLES PRODUCTOS DE OFICINA,07-49554,6 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Archivador,Archivador Neoclas Folio,STAPLES PRODUCTOS DE OFICINA,L7-31511,60 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Fundas,"Fundas en polipropileno rugoso, tamaño folio, 11 taladros reforzados. Dimensiones: 235 x 340 mm. (bolsa 100 uds.)",STAPLES PRODUCTOS DE OFICINA,L7-43386,10 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Bandejas documentos,"Bandeja documentos, en poliestireno, apilable. Dimensiones: 245 x 67 x 347 mm. (pack de 4 uds, colores opacos: negro, azul, rojo y gris)",STAPLES PRODUCTOS DE OFICINA,07-49118,12 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Cubilete,"Cubilete Ceo Pro, color negro. Dimensiones: 96 x 75 x 75 mm. (uds.)",STAPLES PRODUCTOS DE OFICINA,07-48539-1,42 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Papelera chapa acero pintado,"Papelera en poliestireno, color negro, capacidad 18 l. (uds.)",STAPLES PRODUCTOS DE OFICINA,07-44964-1,24 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Expositor,"Expositor Hi-Tech 8, estructura metálica elíptica con pies antideslizantes, 8 niveles de baldas en plástico con visión parcial. Dimensiones: 60 x 115 x 47 cm. (uds.)",STAPLES PRODUCTOS DE OFICINA,07-40112,3 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Regleta Surgemaster,"Regleta Surgemaster protectora de equipos con indicador de protección de sobrecargas, filtro EMI/RFI contra sobretensiones, indicador de tomas de tierra, 4 tomas (uds.)",STAPLES PRODUCTOS DE OFICINA,07-43717,6 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Felpudo de interior pequeño,"Felpudo de interior 60X90, resistente a humedad y suciedad, en polipropileno, espesor 9 mm., base antideslizante. Color gris (uds.)",STAPLES PRODUCTOS DE OFICINA,07-38986-2,12 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Felpudo de interior grande,"Felpudo de interior 120X180, resistente a humedad y suciedad, en polipropileno, espesor 9 mm., base antideslizante. Color gris (uds.)",STAPLES PRODUCTOS DE OFICINA,07-38989-2,12 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Carro de servicio,"Carro de servicio Executive color platino, polipropileno, con ruedas, asas redondeadas ergonómicas y parachoques redondeados. C apacidad 135 Kg.",RUBBERMAID,FG9T6800PLAT,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Mesa de trabajo,Work mesa aux 120x60 BLC-MAR,OFIPRIX,20158626,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Juego de brazos,Juego de brazos negro SPIRIT,OFIPRIX,399170,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Silla de trabajo con brazos,Spirit 4P as.tapizado NEG Matrix NARANJA,OFIPRIX,3977254,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Single unit (MT) packaging,Single unit (MT) packaging,INYCOM,I XL521AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Power supply MT,89% Power supply MT,INYCOM,I BX379AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Windows 7 professional,Windows 7 porfessional 32-bit portugués,INYCOM,I XL688AV#AB9,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,CPU,Intel Core i3-2100 CPU,INYCOM,I BW852AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,RAM,2GB DDR3-1333 (1*2GB) RAM,INYCOM,I BV062AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,HARD DRIVE,250GB 7200RPM SATA-6G 1ST HARD DRIVE,INYCOM,I BV005AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Keyboard,USB Standard JB Keyboard portugués,INYCOM,I BV396AV#AB9,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,MOUSE,Mouse BTO/Optical BLK,INYCOM,I VL506AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Supermulti,Supermulti (JB) 1ST,INYCOM,I BV044AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Warranty,3/3/3 MT Warranty,INYCOM,I XT539AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Windows 7 32,Windows 7 32 bit factory imag,INYCOM,I XL719AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Windows 7 64,Windows 7 64 bit factory image recovery,INYCOM,I XL720AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Compaq 8200 elite country,Compaq 8200 elite country kit portugal,INYCOM,I XJ308AV#AB9,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,CPU Label,i3 2nd Gen CPU Label,INYCOM,I BW870AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Delivery Service door/dock DT,Delivery Service door/dock DT,INYCOM,I ZD011A,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,MONITOR,Compaq LA1951G LCD MONITOR,INYCOM,I EM890AA,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Ordenador personal,Base model HP8200 YT,INYCOM,I BX383AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Epack 2yr exchange STD F/dedicate cons laserjet MFP-E,Epack 2yr exchange STD F/dedicate cons laserjet MFP-E,INYCOM,I UH760E,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Impresora multifuncional láser B/N,Laserjet pro M1217NFW MFP 18PPM ETHERN,INYCOM,I CE844A,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Papelera chapa acero pintado,"Papelera con asa, aro inferior en ABS color NEGRO",INMOCLINC,17100,3 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Carpeta portahistorias clínicas,"Carpeta (hamaca) de cartón, portahistorias clínicas",INMOCLINC,10220C,30 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Carro portahistorias,"Carro porta historias clínicas y radiografías, acero pintado, empujador lateral, tapa con cerradura",INMOCLINC,10220,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,ARCHIVO,Escalera 3 peldaños acero inox.,"Banquillo acceso pacientes, 3 tramos, acero inox., superficie de apoyo antideslizante",INMOCLINC,5021,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Mesa de trabajo,Work mesa aux 120x60 BLC-MAR,OFIPRIX,20158626,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,"Silla rodable, giratoria, tapizada, elevación a gas, respaldo alto","Silla Twenty respa/matrix NAR, asien/matrix NE, con brazos",OFIPRIX,E006253,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Bancada 3 plazas tapizadas,Bancada Spirit 3 AS BLC/rena NEGRO,OFIPRIX,2903040,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Single unit (MT) packaging,Single unit (MT) packaging,INYCOM,I XL521AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Power supply MT,89% Power supply MT,INYCOM,I BX379AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Windows 7 professional,Windows 7 porfessional 32-bit portugués,INYCOM,I XL688AV#AB9,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,CPU,Intel Core i3-2100 CPU,INYCOM,I BW852AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,RAM,2GB DDR3-1333 (1*2GB) RAM,INYCOM,I BV062AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,HARD DRIVE,250GB 7200RPM SATA-6G 1ST HARD DRIVE,INYCOM,I BV005AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Keyboard,USB Standard JB Keyboard portugués,INYCOM,I BV396AV#AB9,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,MOUSE,Mouse BTO/Optical BLK,INYCOM,I VL506AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Supermulti,Supermulti (JB) 1ST,INYCOM,I BV044AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Warranty,3/3/3 MT Warranty,INYCOM,I XT539AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Windows 7 32,Windows 7 32 bit factory imag,INYCOM,I XL719AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Windows 7 64,Windows 7 64 bit factory image recovery,INYCOM,I XL720AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Compaq 8200 elite country,Compaq 8200 elite country kit portugal,INYCOM,I XJ308AV#AB9,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,CPU Label,i3 2nd Gen CPU Label,INYCOM,I BW870AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Delivery Service door/dock DT,Delivery Service door/dock DT,INYCOM,I ZD011A,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,MONITOR,Compaq LA1951G LCD MONITOR,INYCOM,I EM890AA,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Ordenador personal,Base model HP8200 YT,INYCOM,I BX383AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Electronic HP Care Pack Next Day Exchange Hardware Support - Ampliación de la garantía - repuesto - 2 años,Electronic HP Care Pack Next Day Exchange Hardware Support - Ampliación de la garantía - repuesto - 2 años,INYCOM,I UX452E,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Impresora multifuncional láser color,HP color laserjet pro CM1415FN-multifunción (fax/copiadora/impresora/escáner)-color-lase,INYCOM,I CE861A,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Papelera chapa acero pintado,"Papelera con asa, aro inferior en ABS color NEGRO",INMOCLINC,17100,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,3 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Juego de ruedas,Juego de ruedas Sirio O60 NGR/GRIS,OFIPRIX,120814,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Archivador 3 cajones acero MARFIL,New Xenon Buc BLC 3CAJ MARFIL,OFIPRIX,20758203,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARIA DIR.ADMON.,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Lama con frente curvo,"Cartel interno, 300x100 mm., ""GABINETE DIRECTOR ADMINISTRATIVO"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Mesa de trabajo plus con cajonera y ala derecha,Work Plus 180x160 Ped ECO3C dch BLC-NOG,OFIPRIX,20155635,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Soporte DVD,Soporte pared DVD,6º envío INYCOM,I OV04,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,DVD,Reproductor DVD DVX640,INYCOM,I DVX640,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Euroconector,Cable euroconector SCART 5m (M/M),INYCOM,I VC43,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,"TV 32""","32"" TV con pantalla de cristal líquido-pantalla ancha-1080p (FullHD)",INYCOM,I 32LK456C,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,"Soporte de pared TV desde 32"" hasta 50""",Vogel's superflat soporte monitor L EFW 8305,INYCOM,I 8383050,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Sillón director respaldo alto rodable,Sillón Leonardo alto piel NEGRA,OFIPRIX,3784090,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Single unit (MT) packaging,Single unit (MT) packaging,INYCOM,I XL521AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Power supply MT,89% Power supply MT,INYCOM,I BX379AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Windows 7 professional,Windows 7 porfessional 32-bit portugués,INYCOM,I XL688AV#AB9,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,CPU,Intel Core i3-2100 CPU,INYCOM,I BW852AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,RAM,2GB DDR3-1333 (1*2GB) RAM,INYCOM,I BV062AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,HARD DRIVE,250GB 7200RPM SATA-6G 1ST HARD DRIVE,INYCOM,I BV005AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Keyboard,USB Standard JB Keyboard portugués,INYCOM,I BV396AV#AB9,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,MOUSE,Mouse BTO/Optical BLK,INYCOM,I VL506AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Supermulti,Supermulti (JB) 1ST,INYCOM,I BV044AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Warranty,3/3/3 MT Warranty,INYCOM,I XT539AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Windows 7 32,Windows 7 32 bit factory imag,INYCOM,I XL719AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Windows 7 64,Windows 7 64 bit factory image recovery,INYCOM,I XL720AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Compaq 8200 elite country,Compaq 8200 elite country kit portugal,INYCOM,I XJ308AV#AB9,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,CPU Label,i3 2nd Gen CPU Label,INYCOM,I BW870AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Delivery Service door/dock DT,Delivery Service door/dock DT,INYCOM,I ZD011A,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,MONITOR,Compaq LA1951G LCD MONITOR,INYCOM,I EM890AA,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Ordenador personal,Base model HP8200 YT,INYCOM,I BX383AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Silla de trabajo,Spirit 4P tapizada NEG Matrix NARANJA,OFIPRIX,3981254,6 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Mesa grande de juntas,M. Juntas 160x103 pata cosmos BLC NOGAL,OFIPRIX,21455110,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,4 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Armario bajo documentos melamina NOGAL,TT armario 82x100 puerta 765 NOGAL,OFIPRIX,22255028,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Armario bajo documentos melamina MARFIL,TT armario 82x100 puerta 765 MARFIL,OFIPRIX,22258028,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Laterales armario bajo documentos melamina MARFIL,Jgo. laterales emb. optvs.arm 82 MARFIL,OFIPRIX,21258400,1
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Papelera chapa acero pintado,"Papelera con asa, aro inferior en ABS color NEGRO",INMOCLINC,17100,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.ADMON.,Frigobar,Frigobar de 40  litros de capacidad con parrilla intermedia. Dimensiones 680*480*580 mm.,TELLSA,LACOR MINIBAR,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Lama con frente curvo,"Cartel interno, 300x100 mm., ""SECRETARIA GERAL"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Mesa de trabajo doble,Work Bench ini-fin 164x160 BLC-NOG,OFIPRIX,21855623,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Separador para accesorios mesa,Work conjunto divisor portabandejas Bench blanco,OFIPRIX,150226,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Bandeja separador documentos grandes,Kit 1 bandeja individual Open/air,OFIPRIX,445011,4 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Bandeja separador accesorios,Kit 3 bandejas Open/air,OFIPRIX,445013,4 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,"Silla rodable, giratoria, tapizada, elevación a gas, respaldo alto","Silla Twenty respa/matrix NAR, asien/matrix NE, con brazos",OFIPRIX,E006253,4 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Single unit (MT) packaging,Single unit (MT) packaging,INYCOM,I XL521AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Power supply MT,89% Power supply MT,INYCOM,I BX379AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Windows 7 professional,Windows 7 porfessional 32-bit portugués,INYCOM,I XL688AV#AB9,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,CPU,Intel Core i3-2100 CPU,INYCOM,I BW852AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,RAM,2GB DDR3-1333 (1*2GB) RAM,INYCOM,I BV062AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,HARD DRIVE,250GB 7200RPM SATA-6G 1ST HARD DRIVE,INYCOM,I BV005AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Keyboard,USB Standard JB Keyboard portugués,INYCOM,I BV396AV#AB9,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,MOUSE,Mouse BTO/Optical BLK,INYCOM,I VL506AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Supermulti,Supermulti (JB) 1ST,INYCOM,I BV044AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Warranty,3/3/3 MT Warranty,INYCOM,I XT539AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Windows 7 32,Windows 7 32 bit factory imag,INYCOM,I XL719AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Windows 7 64,Windows 7 64 bit factory image recovery,INYCOM,I XL720AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Compaq 8200 elite country,Compaq 8200 elite country kit portugal,INYCOM,I XJ308AV#AB9,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,CPU Label,i3 2nd Gen CPU Label,INYCOM,I BW870AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Delivery Service door/dock DT,Delivery Service door/dock DT,INYCOM,I ZD011A,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,MONITOR,Compaq LA1951G LCD MONITOR,INYCOM,I EM890AA,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Ordenador personal,Base model HP8200 YT,INYCOM,I BX383AV,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Electronic HP Care Pack Next Day Exchange Hardware Support - Ampliación de la garantía - repuesto - 2 años,Electronic HP Care Pack Next Day Exchange Hardware Support - Ampliación de la garantía - repuesto - 2 años,INYCOM,I UX452E,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Impresora multifuncional láser color,HP color laserjet pro CM1415FN-multifunción (fax/copiadora/impresora/escáner)-color-lase,INYCOM,I CE861A,2 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,12 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Juego de ruedas,Juego de ruedas Sirio O60 NGR/GRIS,OFIPRIX,120814,4 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Archivador 3 cajones acero NOGAL,New Xenon Buc BLC 3CAJ NOGAL,OFIPRIX,20755203,4 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Tirador,Tirador aluminio 42 8/1076-128,OFIPRIX,2139974,8 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Armario archivador fichas BLANCO grande,K2 armario 198x120 BLANCO,OFIPRIX,2100220,4 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Estanterías armario archivador fichas BLANCO,K2 estante 120 BLANCO,OFIPRIX,209920,16
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Papelera chapa acero pintado,"Papelera con asa, aro inferior en ABS color NEGRO",INMOCLINC,17100,3 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,SECRETARÍA GENERAL,Perchero mural 3 perchas,"Perchero mural, acero pintado, 3 colgadores cromados",INMOCLINC,18103,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.GENERAL,Lama con frente curvo,"Cartel interno, 300x100 mm., ""GABINETE DIRECTOR GERAL"", lama de aluminio anodizado frente curvo, tapas laterales en negro, color blanco con letras gris oscuro",5º envío RÓTULOS ARCEGA,,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.GENERAL,Mesa de trabajo plus con cajonera y ala izquierda,Work Plus 180x160 Ped ECO3C izq BLC-NOG,OFIPRIX,20155636,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.GENERAL,Soporte DVD,Soporte pared DVD,6º envío INYCOM,I OV04,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.GENERAL,DVD,Reproductor DVD DVX640,INYCOM,I DVX640,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.GENERAL,Euroconector,Cable euroconector SCART 5m (M/M),INYCOM,I VC43,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.GENERAL,"TV 32""","32"" TV con pantalla de cristal líquido-pantalla ancha-1080p (FullHD)",INYCOM,I 32LK456C,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.GENERAL,"Soporte de pared TV desde 32"" hasta 50""",Vogel's superflat soporte monitor L EFW 8305,INYCOM,I 8383050,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.GENERAL,Sillón director respaldo alto rodable,Sillón Leonardo alto piel NEGRA,OFIPRIX,3784090,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.GENERAL,Single unit (MT) packaging,Single unit (MT) packaging,INYCOM,I XL521AV,1 
A,ADMINISTRATIVA Y DIRECCIONES GENERALES,DESPACHO DIR.GENERAL,Power supply MT,89% Power supply MT,INYCOM,I BX379AV,1 
